juego,Action,Casual,Indie,Simulation,Strategy,FreetoPlay,RPG,Sports,Adventure,Racing,EarlyAccess,MassivelyMultiplayer,AnimationModeling,WebPublishing,Education,SoftwareTraining,Utilities,DesignIllustration,AudioProduction,VideoProduction,PhotoEditing
761140,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
643980,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670290,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
767400,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
772540,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
774277,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
774278,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
770380,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
768880,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
765320,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
773650,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
774271,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
773690,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
774279,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
768060,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
775880,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
775881,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
653960,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282010,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
752360,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766850,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
716110,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1640,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
