user_id,user_url,Analisis
76561197970982479,http://steamcommunity.com/profiles/76561197970982479,"['1250;2011-11-5;True;2', '22200;2011-7-15;True;2', '43110;2011-4-21;True;2']"
js41637,http://steamcommunity.com/id/js41637,"['251610;2014-6-24;True;2', '227300;2013-9-8;True;0', '239030;2013-11-29;True;0']"
evcentric,http://steamcommunity.com/id/evcentric,"['248820;2012-2-3;True;2', '370360;2015-12-4;True;2', '237930;2014-11-3;True;2', '263360;2014-10-15;True;0', '107200;2014-10-15;True;2', '224500;2014-10-15;True;2']"
doctr,http://steamcommunity.com/id/doctr,"['250320;2013-10-14;True;2', '20920;2012-7-28;True;2', '204100;2012-6-2;True;2', '224600;2014-6-29;True;2', '207610;2012-11-22;True;0', '108710;2012-2-23;True;2']"
maplemage,http://steamcommunity.com/id/maplemage,"['211420;2014-4-15;True;1', '211820;2013-12-23;True;2', '730;2014-3-14;True;2', '204300;2013-7-11;True;2']"
Wackky,http://steamcommunity.com/id/Wackky,"['249130;2014-5-5;True;0', '207610;2012-12-24;True;0', '550;2012-10-21;True;1', '65800;2012-3-20;True;0', '220;2012-3-9;True;2']"
76561198079601835,http://steamcommunity.com/profiles/76561198079601835,['730;2012-5-20;True;1']
MeaTCompany,http://steamcommunity.com/id/MeaTCompany,['730;2012-7-24;True;0']
76561198089393905,http://steamcommunity.com/profiles/76561198089393905,"['72850;2015-2-1;True;0', '440;2014-6-20;True;1']"
76561198156664158,http://steamcommunity.com/profiles/76561198156664158,['252950;2012-6-16;True;2']
76561198077246154,http://steamcommunity.com/profiles/76561198077246154,"['440;2012-6-11;True;1', '304930;2014-8-25;True;1']"
WeiEDKrSat,http://steamcommunity.com/id/WeiEDKrSat,['4000;2013-12-25;True;1']
thequeenpanda,http://steamcommunity.com/id/thequeenpanda,['42910;2012-6-23;True;1']
death-hunter,http://steamcommunity.com/id/death-hunter,"['232090;2015-9-5;True;2', '1250;2015-3-30;True;2', '4000;2014-2-19;True;2']"
DJKamBer,http://steamcommunity.com/id/DJKamBer,"['304930;2014-7-14;True;0', '570;2013-4-27;True;2', '218620;2015-7-20;True;2', '224260;2013-11-4;True;2', '1250;2013-7-12;True;2', '440;2012-8-19;True;1']"
Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,"['730;2015-6-19;True;2', '440;2014-9-20;True;2', '49520;2014-9-7;True;0']"
76561198043472122,http://steamcommunity.com/profiles/76561198043472122,['33440;2014-12-19;False;0']
MarbleShrine,http://steamcommunity.com/id/MarbleShrine,['220200;2015-2-17;True;2']
